[Data]: size=12
[Data]: LineStop: { id: 4661, date: 01/01/2000, train: {RailtimeTrain: { id: 466, railtimeId: 466, dutchName: null, englishName: 466, frenchName: null }}, station: {Station: { id: 1, dutchName: null, englishName: Bruxelles-Midi, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 16:24, delay: 0 }}, departureTime: {TimestampDelay: { expected: 16:24, delay: 36 }}, canceled: false } 
[Data]: LineStop: { id: 4662, date: 01/01/2000, train: {RailtimeTrain: { id: 466, railtimeId: 466, dutchName: null, englishName: 466, frenchName: null }}, station: {Station: { id: 2, dutchName: null, englishName: Bruxelles-Central, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 16:27, delay: 45 }}, departureTime: {TimestampDelay: { expected: 16:28, delay: 46 }}, canceled: false } 
[Data]: LineStop: { id: 4663, date: 01/01/2000, train: {RailtimeTrain: { id: 466, railtimeId: 466, dutchName: null, englishName: 466, frenchName: null }}, station: {Station: { id: 3, dutchName: null, englishName: Bruxelles-Nord, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 16:31, delay: 47 }}, departureTime: {TimestampDelay: { expected: 16:33, delay: 48 }}, canceled: false } 
[Data]: LineStop: { id: 4664, date: 01/01/2000, train: {RailtimeTrain: { id: 466, railtimeId: 466, dutchName: null, englishName: 466, frenchName: null }}, station: {Station: { id: 4, dutchName: null, englishName: Liège-Guillemins, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 17:22, delay: 49 }}, departureTime: {TimestampDelay: { expected: 17:25, delay: 50 }}, canceled: false } 
[Data]: LineStop: { id: 5151, date: 01/01/2000, train: {RailtimeTrain: { id: 515, railtimeId: 515, dutchName: null, englishName: 515, frenchName: null }}, station: {Station: { id: 1, dutchName: null, englishName: Bruxelles-Midi, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 16:55, delay: 5 }}, departureTime: {TimestampDelay: { expected: 16:57, delay: 5 }}, canceled: false } 
[Data]: LineStop: { id: 5152, date: 01/01/2000, train: {RailtimeTrain: { id: 515, railtimeId: 515, dutchName: null, englishName: 515, frenchName: null }}, station: {Station: { id: 2, dutchName: null, englishName: Bruxelles-Central, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 17:00, delay: 5 }}, departureTime: {TimestampDelay: { expected: 17:01, delay: 5 }}, canceled: false } 
[Data]: LineStop: { id: 5153, date: 01/01/2000, train: {RailtimeTrain: { id: 515, railtimeId: 515, dutchName: null, englishName: 515, frenchName: null }}, station: {Station: { id: 3, dutchName: null, englishName: Bruxelles-Nord, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 17:04, delay: 5 }}, departureTime: {TimestampDelay: { expected: 17:06, delay: 5 }}, canceled: false } 
[Data]: LineStop: { id: 5154, date: 01/01/2000, train: {RailtimeTrain: { id: 515, railtimeId: 515, dutchName: null, englishName: 515, frenchName: null }}, station: {Station: { id: 4, dutchName: null, englishName: Liège-Guillemins, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 18:00, delay: 5 }}, departureTime: {TimestampDelay: { expected: 18:05, delay: 5 }}, canceled: false } 
[Data]: LineStop: { id: 17151, date: 01/01/2000, train: {RailtimeTrain: { id: 1715, railtimeId: 1715, dutchName: null, englishName: 1715, frenchName: null }}, station: {Station: { id: 1, dutchName: null, englishName: Bruxelles-Midi, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 16:27, delay: 5 }}, departureTime: {TimestampDelay: { expected: 16:31, delay: 5 }}, canceled: false } 
[Data]: LineStop: { id: 17152, date: 01/01/2000, train: {RailtimeTrain: { id: 1715, railtimeId: 1715, dutchName: null, englishName: 1715, frenchName: null }}, station: {Station: { id: 2, dutchName: null, englishName: Bruxelles-Central, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 16:34, delay: 5 }}, departureTime: {TimestampDelay: { expected: 16:35, delay: 5 }}, canceled: false } 
[Data]: LineStop: { id: 17153, date: 01/01/2000, train: {RailtimeTrain: { id: 1715, railtimeId: 1715, dutchName: null, englishName: 1715, frenchName: null }}, station: {Station: { id: 3, dutchName: null, englishName: Bruxelles-Nord, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 16:38, delay: 5 }}, departureTime: {TimestampDelay: { expected: 16:40, delay: 5 }}, canceled: false } 
[Data]: LineStop: { id: 17154, date: 01/01/2000, train: {RailtimeTrain: { id: 1715, railtimeId: 1715, dutchName: null, englishName: 1715, frenchName: null }}, station: {Station: { id: 4, dutchName: null, englishName: Liège-Guillemins, frenchName: null }}, arrivalTime: {TimestampDelay: { expected: 17:55, delay: 5 }}, departureTime: {null}, canceled: false } 
